YEAR,SERIAL,HWTSUPP,CPSID,ASECFLAG,HFLAG,METAREA,MONTH,PERNUM,CPSIDP,WTSUPP,SEX,RACE,OCC2010,INCTOT
2013,93014,1335.03,20130200757400.0,1,,7365,3,4,20130200757403.0,1713.71,2,100,9920,99999999
2013,93014,1335.03,20130200757400.0,1,,7365,3,5,20130200757405.0,1972.24,1,100,6230,34000
2013,93015,1845.27,20120200627200.0,1,,7365,3,1,20120200627201.0,1845.27,1,651,7200,45000
2013,93015,1845.27,20120200627200.0,1,,7365,3,2,20120200627202.0,1845.27,2,651,8350,5340
2013,93015,1845.27,20120200627200.0,1,,7365,3,3,20120200627204.0,1758.68,2,651,9920,0
2013,93015,1845.27,20120200627200.0,1,,7365,3,4,20120200627203.0,1495.99,1,651,9920,0
2013,93017,2383.93,20120200457400.0,1,,7365,3,1,20120200457401.0,2383.93,1,803,1050,85000
2013,93017,2383.93,20120200457400.0,1,,7365,3,2,20120200457402.0,2383.93,2,803,3130,120000
2013,93017,2383.93,20120200457400.0,1,,7365,3,3,20120200457403.0,2352.51,2,803,9920,99999999
2013,93018,1682.83,20120200465000.0,1,,7365,3,1,20120200465001.0,1682.83,1,100,9920,43700
2013,93018,1682.83,20120200465000.0,1,,7365,3,2,20120200465002.0,2245.93,1,200,6260,36400
2013,93020,1636.6,20120200672200.0,1,,7365,3,1,20120200672201.0,1636.6,2,651,800,60000
2013,93020,1636.6,20120200672200.0,1,,7365,3,2,20120200672202.0,1636.6,1,651,110,92000
2013,93020,1636.6,20120200672200.0,1,,7365,3,3,20120200672203.0,1758.68,2,651,2310,13000
2013,93020,1636.6,20120200672200.0,1,,7365,3,4,20120200672204.0,1317.88,1,651,9920,99999999
2013,93021,3065.35,20120200655800.0,1,,7365,3,1,20120200655801.0,3065.35,1,100,3060,60020
2013,93022,1636.6,20120200703300.0,1,,7365,3,1,20120200703301.0,1636.6,2,651,4520,35000
2013,93022,1636.6,20120200703300.0,1,,7365,3,2,20120200703302.0,1924.17,2,651,9920,10799
2013,93023,1589.64,20120200696200.0,1,,7365,3,1,20120200696201.0,1589.64,1,651,140,220005
2013,93023,1589.64,20120200696200.0,1,,7365,3,2,20120200696202.0,1589.64,2,651,850,51500
2013,93025,1608.34,20120200541900.0,1,,7365,3,1,20120200541901.0,1608.34,1,200,6230,73678
2013,93026,1920.5,20120200584900.0,1,,7365,3,1,20120200584901.0,1920.5,1,200,2040,42000
2013,93026,1920.5,20120200584900.0,1,,7365,3,2,20120200584902.0,1920.5,2,200,800,51808
2013,93026,1920.5,20120200584900.0,1,,7365,3,3,20120200584903.0,1955.65,2,200,9920,0
2013,93026,1920.5,20120200584900.0,1,,7365,3,4,20120200584905.0,2017.85,2,200,9920,99999999
2013,93026,1920.5,20120200584900.0,1,,7365,3,5,20120200584904.0,1989.17,2,200,9920,99999999
2013,93027,1853.5,20130200524900.0,1,,7365,3,1,20130200524901.0,1853.5,1,200,9920,6005
2013,93030,1875.4,20120200418500.0,1,,7365,3,1,20120200418501.0,1875.4,1,200,430,40000
2013,93031,3712.23,20120200545900.0,1,,7365,3,1,20120200545901.0,3712.23,2,100,2310,43005
2013,93033,1848.84,20120200399400.0,1,,7365,3,1,20120200399401.0,1848.84,2,651,800,53750
2013,93034,1963.55,20120200574100.0,1,,7365,3,1,20120200574101.0,1963.55,2,651,1020,95030
2013,93035,3182.61,20120200595100.0,1,,7365,3,1,20120200595101.0,3182.61,2,100,120,230999
2013,93035,3182.61,20120200595100.0,1,,7365,3,2,20120200595102.0,3182.61,1,100,1050,51000
2013,93036,1741.04,20130300404100.0,1,,7365,3,1,20130300404101.0,1741.04,2,200,4510,14019
2013,93036,1741.04,20130300404100.0,1,,7365,3,2,20130300404103.0,1869.2,1,200,9920,0
2013,93036,1741.04,20130300404100.0,1,,7365,3,3,20130300404102.0,1748.08,1,200,9920,99999999
2013,93038,1871.47,20120300384000.0,1,,7365,3,1,20120300384001.0,1871.47,2,200,5400,11004
2013,93038,1871.47,20120300384000.0,1,,7365,3,2,20120300384003.0,2204.95,1,200,9920,99999999
2013,93038,1871.47,20120300384000.0,1,,7365,3,3,20120300384002.0,2264.5,1,200,9920,99999999
2013,93039,1771.61,20130300504600.0,1,,7365,3,1,20130300504601.0,1771.61,2,651,9200,46520
2013,93039,1771.61,20130300504600.0,1,,7365,3,2,20130300504603.0,1604.53,2,809,9920,99999999
2013,93039,1771.61,20130300504600.0,1,,7365,3,3,20130300504602.0,1786.37,1,809,9920,99999999
2013,93040,1721.1,20120300702000.0,1,,7365,3,1,20120300702001.0,1721.1,1,651,5550,79908
2013,93040,1721.1,20120300702000.0,1,,7365,3,2,20120300702002.0,1721.1,2,651,9920,272
2013,93040,1721.1,20120300702000.0,1,,7365,3,3,20120300702004.0,1859.67,1,651,9920,99999999
2013,93040,1721.1,20120300702000.0,1,,7365,3,4,20120300702003.0,1138.5,1,651,9920,1945
2013,93041,1418.58,20120300694800.0,1,,7365,3,1,20120300694801.0,1418.58,2,100,5400,40800
2013,93041,1418.58,20120300694800.0,1,,7365,3,2,20120300694802.0,1418.58,1,100,9920,13199
2013,93042,1373.15,20130300707700.0,1,,7365,3,1,20130300707701.0,1373.15,1,100,6440,60000
2013,93042,1373.15,20130300707700.0,1,,7365,3,2,20130300707704.0,1059.0,1,100,9920,99999999
2013,93042,1373.15,20130300707700.0,1,,7365,3,3,20130300707703.0,1323.7,1,100,9920,99999999
2013,93042,1373.15,20130300707700.0,1,,7365,3,4,20130300707702.0,1037.05,1,100,9920,99999999
2013,93042,1373.15,20130300707700.0,1,,7365,3,5,20130300707705.0,1373.15,2,100,9920,8000
2013,93043,2912.17,20120300672700.0,1,,7365,3,1,20120300672701.0,2912.17,2,100,5000,48720
2013,93043,2912.17,20120300672700.0,1,,7365,3,2,20120300672702.0,2912.17,1,100,7950,35000
2013,93044,1828.64,20120300812000.0,1,,7365,3,1,20120300812001.0,1828.64,1,100,1020,201242
2013,93044,1828.64,20120300812000.0,1,,7365,3,2,20120300812002.0,1828.64,2,100,2320,73242
2013,93044,1828.64,20120300812000.0,1,,7365,3,3,20120300812004.0,1941.03,2,100,9920,99999999
2013,93044,1828.64,20120300812000.0,1,,7365,3,4,20120300812003.0,1589.7,1,100,9920,99999999
2013,93047,1828.64,20120300625900.0,1,,7365,3,1,20120300625901.0,1828.64,2,100,9920,32
2013,93047,1828.64,20120300625900.0,1,,7365,3,2,20120300625902.0,1828.64,1,100,30,130082
2013,93047,1828.64,20120300625900.0,1,,7365,3,3,20120300625905.0,1963.4,1,100,2140,5028
2013,93047,1828.64,20120300625900.0,1,,7365,3,4,20120300625903.0,1676.95,2,100,4600,2543
2013,93047,1828.64,20120300625900.0,1,,7365,3,5,20120300625904.0,1589.7,1,100,9920,99999999
2013,93048,1609.66,20120300511200.0,1,,7365,3,1,20120300511201.0,1609.66,2,651,430,20000
2013,93048,1609.66,20120300511200.0,1,,7365,3,2,20120300511202.0,1609.66,1,651,1020,130000
2013,93048,1609.66,20120300511200.0,1,,7365,3,3,20120300511203.0,1531.12,1,651,9920,0
2013,93048,1609.66,20120300511200.0,1,,7365,3,4,20120300511204.0,1768.36,2,651,9920,99999999
2013,93049,1831.28,20120300579400.0,1,,7365,3,1,20120300579401.0,1831.28,1,651,1020,150000
2013,93049,1831.28,20120300579400.0,1,,7365,3,2,20120300579402.0,1831.28,2,651,9920,0
2013,93049,1831.28,20120300579400.0,1,,7365,3,3,20120300579404.0,1489.53,1,651,9920,99999999
2013,93049,1831.28,20120300579400.0,1,,7365,3,4,20120300579403.0,1728.92,1,651,9920,99999999
2013,93051,3427.78,20120300495700.0,1,,7365,3,1,20120300495701.0,3427.78,1,100,160,80000
2013,93051,3427.78,20120300495700.0,1,,7365,3,2,20120300495702.0,3427.78,2,100,2310,70000
2013,93052,1558.93,20120300723700.0,1,,7365,3,1,20120300723701.0,1558.93,1,651,9920,15599
2013,93052,1558.93,20120300723700.0,1,,7365,3,2,20120300723702.0,1558.93,2,651,9920,13199
2013,93053,1779.07,20120300658200.0,1,,7365,3,1,20120300658201.0,1779.07,1,651,1400,50080
2013,93053,1779.07,20120300658200.0,1,,7365,3,2,20120300658202.0,1779.07,2,651,1400,29060
2013,93053,1779.07,20120300658200.0,1,,7365,3,3,20120300658203.0,1751.6,1,651,9920,99999999
2013,93054,1805.11,20120300712300.0,1,,7365,3,1,20120300712301.0,1805.11,2,651,3130,90000
2013,93054,1805.11,20120300712300.0,1,,7365,3,2,20120300712302.0,1805.11,2,651,3040,60000
2013,93055,1530.12,20120300766900.0,1,,7365,3,1,20120300766901.0,1530.12,1,651,4700,28000
2013,93055,1530.12,20120300766900.0,1,,7365,3,2,20120300766905.0,1681.96,1,651,9920,8400
2013,93055,1530.12,20120300766900.0,1,,7365,3,3,20120300766904.0,1563.77,2,651,2825,100000
2013,93055,1530.12,20120300766900.0,1,,7365,3,4,20120300766902.0,1558.93,2,651,9920,8400
2013,93055,1530.12,20120300766900.0,1,,7365,3,5,20120300766903.0,1558.93,1,651,9920,50000
2013,93058,1752.96,20120300584300.0,1,,7365,3,1,20120300584301.0,1752.96,1,200,9920,9600
2013,93059,1377.32,20120300525200.0,1,,7365,3,1,20120300525201.0,1377.32,2,100,9920,15599
2013,93059,1377.32,20120300525200.0,1,,7365,3,2,20120300525202.0,1251.54,2,100,4230,32000
2013,93059,1377.32,20120300525200.0,1,,7365,3,3,20120300525204.0,1251.54,1,100,6260,18000
2013,93059,1377.32,20120300525200.0,1,,7365,3,4,20120300525206.0,1194.31,2,100,9920,99999999
2013,93059,1377.32,20120300525200.0,1,,7365,3,5,20120300525205.0,1067.49,1,100,9920,99999999
2013,93060,3512.91,20120300472000.0,1,,7365,3,1,20120300472001.0,3512.91,2,100,1840,97181
2013,93061,2893.79,20120300437000.0,1,,7365,3,1,20120300437001.0,2893.79,1,100,2310,45058
2013,93061,2893.79,20120300437000.0,1,,7365,3,2,20120300437002.0,2893.79,2,100,3030,79050
2013,93061,2893.79,20120300437000.0,1,,7365,3,3,20120300437003.0,3470.04,2,100,9920,99999999
2013,93062,2893.79,20120300426500.0,1,,7365,3,1,20120300426501.0,2893.79,2,100,2200,80000
2013,93062,2893.79,20120300426500.0,1,,7365,3,2,20120300426502.0,2893.79,1,100,2200,68450
